new_topic_id,new_topic_new_id,new_topic_relevance_score,new_topic_topic_id
4061,1718,1,9
4068,1721,1,9
4088,1730,1,9
4103,1736,1,9
4144,1752,1,9
4156,1758,1,9
4157,1759,1,9
4160,1761,1,9
4162,1762,1,9
4178,1770,1,9
4219,1783,1,9
4240,1791,1,9
4242,1792,1,9
4260,1799,1,9
4262,1801,1,9
4264,1802,1,9
4268,1804,1,9
4275,1808,1,9
4349,1834,1,9
4352,1836,1,9
4396,1852,1,9
4431,1864,1,9
4433,1865,1,9
4464,1871,1,9
4471,1873,1,9
4477,1876,1,9
4497,1886,1,9
4498,1887,1,9
4518,1894,1,9
4519,1895,1,9
4520,1894,1,9
4521,1895,1,9
4525,1899,1,9
4543,1909,1,9
4553,1913,1,9
4585,1926,1,9
4598,1932,1,9
4608,1936,1,9
4610,1937,1,9
4612,1938,1,9
4624,1943,1,9
4637,1947,1,9
4638,1953,1,9
4643,1949,1,9
4652,1947,1,9
4653,1953,1,9
4672,1964,1,9
4685,1968,1,9
4709,1976,1,9
4722,1982,1,9
4728,1985,1,9
4738,1990,1,9
4759,2000,1,9
4775,2006,1,9
4792,2011,1,9
4798,2014,1,9
4802,2016,1,9
4804,2017,1,9
4825,2024,1,9
4864,2040,1,9
4879,2046,1,9
4884,2048,1,9
4892,2053,1,9
4893,2082,1,9
4901,2056,1,9
4909,2059,1,9
4952,2074,1,9
4969,2053,1,9
4970,2082,1,9
4984,2088,1,9
4989,2092,1,9
4990,2093,1,9
5003,2099,1,9
5033,2109,1,9
5053,2117,1,9
5057,2119,1,9
5059,2121,1,9
5073,2126,1,9
5087,2131,1,9
5095,2134,1,9
5125,2145,1,9
5127,2146,1,9
5151,2158,1,9
5159,2160,1,9
5179,2169,1,9
5194,2175,1,9
5203,2179,1,9
5223,2187,1,9
5224,2188,1,9
5262,2207,1,9
5269,2210,1,9
5283,2215,1,9
5284,2216,1,9
5323,2243,1,9
5330,2248,1,9
5339,2252,1,9
5347,2255,1,9
5359,2259,1,9
5367,2264,1,9
5379,2272,1,9
5429,2289,1,9
5490,2311,1,9
5491,2314,1,9
5503,2311,1,9
5504,2314,1,9
5512,2317,1,9
5514,2318,1,9
5533,2326,1,9
5559,2334,1,9
5599,2354,1,9
5605,2357,1,9
5609,2359,1,9
5612,2362,1,9
5617,2364,1,9
5633,2369,1,9
5688,2395,1,9
5716,2410,1,9
5736,2419,1,9
5740,2422,1,9
5772,2437,1,9
5802,2453,1,9
5806,2456,1,9
5837,2473,1,9
5899,2503,1,9
5920,2509,1,9
5936,2517,1,9
5938,2518,1,9
5950,2524,1,9
5971,2531,1,9
5974,2532,1,9
5985,2536,1,9
5994,2540,1,9
6016,2551,1,9
6033,2558,1,9
6044,2563,1,9
6049,2566,1,9
6055,2568,1,9
6057,2569,1,9
6076,2575,1,9
6117,2590,1,9
6120,2592,1,9
6133,2599,1,9
6164,2611,1,9
6175,2617,1,9
6198,2635,1,9
6207,2641,1,9
6216,2647,1,9
6226,2650,1,9
6229,2652,1,9
6245,2659,1,9
6250,2661,1,9
6268,2669,1,9
6327,2698,1,9
6344,2708,1,9
6346,2709,1,9
6351,2711,1,9
6397,2728,1,9
6399,2731,1,9
6433,2744,1,9
6473,2766,1,9
6508,2778,1,9
6556,2796,1,9
6563,2800,1,9
6579,2809,1,9
6608,2819,1,9
6614,2822,1,9
6643,2833,1,9
6670,2848,1,9
6673,2849,1,9
6676,2850,1,9
6705,2861,1,9
6711,2864,1,9
6723,2869,1,9
6731,2874,1,9
6757,2883,1,9
6775,2890,1,9
6789,2899,1,9
6809,2907,1,9
6834,2914,1,9
6836,2915,1,9
6870,2929,1,9
6871,2930,1,9
6872,2931,1,9
6875,2933,1,9
6919,2958,1,9
6922,2960,1,9
6934,2968,1,9
6940,2971,1,9
6943,2972,1,9
6952,2975,1,9
6953,2976,1,9
6962,2981,1,9
6976,2990,1,9
6991,2997,1,9
6993,2998,1,9
7076,3034,1,9
7082,3036,1,9
7085,3037,1,9
7095,3043,1,9
7100,3048,1,9
7116,3054,1,9
7146,3069,1,9
7149,3070,1,9
7160,3074,1,9
7171,3079,1,9
7184,3084,1,9
7204,3091,1,9
7216,3096,1,9
7232,3105,1,9
7239,3109,1,9
7254,3117,1,9
7276,3128,1,9
7279,3129,1,9
7293,3137,1,9
7322,3150,1,9
7329,3152,1,9
7410,3186,1,9
7430,3196,1,9
7445,3202,1,9
7469,3208,1,9
7472,3209,1,9
7498,3221,1,9
7503,3224,1,9
7512,3227,1,9
7514,3228,1,9
7530,3238,1,9
7551,3247,1,9
7564,3251,1,9
7567,3252,1,9
7572,3254,1,9
7574,3255,1,9
7590,3264,1,9
7614,3276,1,9
7632,3287,1,9
7654,3297,1,9
7689,3313,1,9
7692,3315,1,9
7727,3333,1,9
7733,3337,1,9
7738,3340,1,9
7742,3343,1,9
7744,3344,1,9
7754,3349,1,9
7783,3364,1,9
7877,3402,1,9
7880,3404,1,9
7901,3412,1,9
7920,3422,1,9
7937,3428,1,9
7940,3429,1,9
7959,3441,1,9
7970,3447,1,9
7979,3453,1,9
7988,3457,1,9
7993,3459,1,9
8012,3466,1,9
8014,3467,1,9
